<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20150105,110000,129.1900000
GAZP,60,20150105,120000,132.1600000
GAZP,60,20150105,130000,133.7100000
GAZP,60,20150105,140000,133.1000000
GAZP,60,20150105,150000,132.8400000
GAZP,60,20150105,160000,132.9400000
GAZP,60,20150105,170000,133.2000000
GAZP,60,20150105,180000,132.7800000
GAZP,60,20150105,190000,133.9500000
GAZP,60,20150106,110000,135.3500000
GAZP,60,20150106,120000,136.5000000
GAZP,60,20150106,130000,137.2200000
GAZP,60,20150106,140000,136.9400000
GAZP,60,20150106,150000,136.7000000
GAZP,60,20150106,160000,136.2300000
GAZP,60,20150106,170000,136.6300000
GAZP,60,20150106,180000,137.6100000
GAZP,60,20150106,190000,138.9200000
GAZP,60,20150108,110000,142.5300000
GAZP,60,20150108,120000,145.2000000
GAZP,60,20150108,130000,145.7800000
GAZP,60,20150108,140000,146.1200000
GAZP,60,20150108,150000,146.5200000
GAZP,60,20150108,160000,147.1900000
GAZP,60,20150108,170000,146.5900000
GAZP,60,20150108,180000,146.7800000
GAZP,60,20150108,190000,146.4600000
GAZP,60,20150109,110000,144.8000000
GAZP,60,20150109,120000,142.9200000
GAZP,60,20150109,130000,143.5200000
GAZP,60,20150109,140000,140.9200000
GAZP,60,20150109,150000,140.5200000
GAZP,60,20150109,160000,140.5600000
GAZP,60,20150109,170000,140.8600000
GAZP,60,20150109,180000,141.2400000
GAZP,60,20150109,190000,141.7000000
GAZP,60,20150112,110000,142.3200000
GAZP,60,20150112,120000,142.2900000
GAZP,60,20150112,130000,141.9700000
GAZP,60,20150112,140000,141.0100000
GAZP,60,20150112,150000,140.9000000
GAZP,60,20150112,160000,141.9400000
GAZP,60,20150112,170000,140.8900000
GAZP,60,20150112,180000,140.1800000
GAZP,60,20150112,190000,140.2200000
GAZP,60,20150113,110000,140.8100000
GAZP,60,20150113,120000,141.5000000
GAZP,60,20150113,130000,141.9800000
GAZP,60,20150113,140000,141.6200000
GAZP,60,20150113,150000,142.2000000
GAZP,60,20150113,160000,142.5500000
GAZP,60,20150113,170000,143.2500000
GAZP,60,20150113,180000,143.4000000
GAZP,60,20150113,190000,142.6400000
GAZP,60,20150114,110000,143.6000000
GAZP,60,20150114,120000,143.3800000
GAZP,60,20150114,130000,144.1700000
GAZP,60,20150114,140000,144.0200000
GAZP,60,20150114,150000,144.4400000
GAZP,60,20150114,160000,144.5000000
GAZP,60,20150114,170000,145.3200000
GAZP,60,20150114,180000,146.9200000
GAZP,60,20150114,190000,146.3000000
GAZP,60,20150115,110000,148.4000000
GAZP,60,20150115,120000,148.7000000
GAZP,60,20150115,130000,147.5800000
GAZP,60,20150115,140000,147.7700000
GAZP,60,20150115,150000,146.4400000
GAZP,60,20150115,160000,147.9900000
GAZP,60,20150115,170000,148.7300000
GAZP,60,20150115,180000,147.1400000
GAZP,60,20150115,190000,147.0000000
GAZP,60,20150116,110000,145.9700000
GAZP,60,20150116,120000,146.1500000
GAZP,60,20150116,130000,147.0500000
GAZP,60,20150116,140000,148.2000000
GAZP,60,20150116,150000,149.0000000
GAZP,60,20150116,160000,148.8700000
GAZP,60,20150116,170000,149.0000000
GAZP,60,20150116,180000,149.2800000
GAZP,60,20150116,190000,149.6000000
GAZP,60,20150119,110000,151.6300000
GAZP,60,20150119,120000,151.9700000
GAZP,60,20150119,130000,152.2000000
GAZP,60,20150119,140000,152.2200000
GAZP,60,20150119,150000,151.7200000
GAZP,60,20150119,160000,151.1800000
GAZP,60,20150119,170000,150.3500000
GAZP,60,20150119,180000,149.8600000
GAZP,60,20150119,190000,148.1100000
GAZP,60,20150120,110000,147.1200000
GAZP,60,20150120,120000,149.2000000
GAZP,60,20150120,130000,149.0900000
