<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,60,20150105,110000,438.8000000
NVTK,60,20150105,120000,440.4000000
NVTK,60,20150105,130000,445.9000000
NVTK,60,20150105,140000,449.7000000
NVTK,60,20150105,150000,451.9000000
NVTK,60,20150105,160000,453.2000000
NVTK,60,20150105,170000,453.0000000
NVTK,60,20150105,180000,449.1000000
NVTK,60,20150105,190000,455.5000000
NVTK,60,20150106,110000,465.3000000
NVTK,60,20150106,120000,468.6000000
NVTK,60,20150106,130000,473.0000000
NVTK,60,20150106,140000,475.0000000
NVTK,60,20150106,150000,464.9000000
NVTK,60,20150106,160000,464.7000000
NVTK,60,20150106,170000,465.5000000
NVTK,60,20150106,180000,470.1000000
NVTK,60,20150106,190000,476.7000000
NVTK,60,20150108,110000,484.0000000
NVTK,60,20150108,120000,478.5000000
NVTK,60,20150108,130000,479.9000000
NVTK,60,20150108,140000,479.8000000
NVTK,60,20150108,150000,484.4000000
NVTK,60,20150108,160000,492.0000000
NVTK,60,20150108,170000,489.7000000
NVTK,60,20150108,180000,490.1000000
NVTK,60,20150108,190000,483.0000000
NVTK,60,20150109,110000,477.6000000
NVTK,60,20150109,120000,468.0000000
NVTK,60,20150109,130000,468.8000000
NVTK,60,20150109,140000,458.6000000
NVTK,60,20150109,150000,458.8000000
NVTK,60,20150109,160000,459.9000000
NVTK,60,20150109,170000,461.0000000
NVTK,60,20150109,180000,470.5000000
NVTK,60,20150109,190000,475.1000000
NVTK,60,20150112,110000,476.8000000
NVTK,60,20150112,120000,476.3000000
NVTK,60,20150112,130000,477.0000000
NVTK,60,20150112,140000,472.2000000
NVTK,60,20150112,150000,472.2000000
NVTK,60,20150112,160000,476.6000000
NVTK,60,20150112,170000,471.0000000
NVTK,60,20150112,180000,470.8000000
NVTK,60,20150112,190000,470.7000000
NVTK,60,20150113,110000,471.0000000
NVTK,60,20150113,120000,472.8000000
NVTK,60,20150113,130000,474.2000000
NVTK,60,20150113,140000,475.9000000
NVTK,60,20150113,150000,478.0000000
NVTK,60,20150113,160000,480.6000000
NVTK,60,20150113,170000,483.0000000
NVTK,60,20150113,180000,490.5000000
NVTK,60,20150113,190000,489.4000000
NVTK,60,20150114,110000,486.2000000
NVTK,60,20150114,120000,489.4000000
NVTK,60,20150114,130000,495.4000000
NVTK,60,20150114,140000,491.7000000
NVTK,60,20150114,150000,489.0000000
NVTK,60,20150114,160000,486.8000000
NVTK,60,20150114,170000,491.1000000
NVTK,60,20150114,180000,492.4000000
NVTK,60,20150114,190000,497.9000000
NVTK,60,20150115,110000,504.2000000
NVTK,60,20150115,120000,502.3000000
NVTK,60,20150115,130000,494.5000000
NVTK,60,20150115,140000,496.7000000
NVTK,60,20150115,150000,489.6000000
NVTK,60,20150115,160000,491.2000000
NVTK,60,20150115,170000,491.1000000
NVTK,60,20150115,180000,485.9000000
NVTK,60,20150115,190000,483.2000000
NVTK,60,20150116,110000,478.4000000
NVTK,60,20150116,120000,477.2000000
NVTK,60,20150116,130000,481.2000000
NVTK,60,20150116,140000,486.8000000
NVTK,60,20150116,150000,489.9000000
NVTK,60,20150116,160000,488.1000000
NVTK,60,20150116,170000,488.0000000
NVTK,60,20150116,180000,489.3000000
NVTK,60,20150116,190000,490.0000000
NVTK,60,20150119,110000,487.1000000
NVTK,60,20150119,120000,495.2000000
NVTK,60,20150119,130000,503.2000000
NVTK,60,20150119,140000,504.3000000
NVTK,60,20150119,150000,498.9000000
NVTK,60,20150119,160000,499.7000000
NVTK,60,20150119,170000,488.9000000
NVTK,60,20150119,180000,489.5000000
NVTK,60,20150119,190000,487.0000000
NVTK,60,20150120,110000,480.3000000
NVTK,60,20150120,120000,485.2000000
NVTK,60,20150120,130000,486.7000000
NVTK,60,20150120,140000,484.2000000
NVTK,60,20150120,150000,488.2000000
NVTK,60,20150120,160000,485.6000000
NVTK,60,20150120,170000,482.7000000
NVTK,60,20150120,180000,474.7000000
NVTK,60,20150120,190000,475.0000000
NVTK,60,20150121,110000,476.6000000
NVTK,60,20150121,120000,480.1000000
NVTK,60,20150121,130000,481.3000000
NVTK,60,20150121,140000,480.5000000
NVTK,60,20150121,150000,486.1000000
NVTK,60,20150121,160000,484.3000000
NVTK,60,20150121,170000,491.0000000
NVTK,60,20150121,180000,488.0000000
NVTK,60,20150121,190000,490.4000000
NVTK,60,20150122,110000,496.8000000
NVTK,60,20150122,120000,499.6000000
NVTK,60,20150122,130000,502.2000000
NVTK,60,20150122,140000,505.6000000
NVTK,60,20150122,150000,513.0000000
NVTK,60,20150122,160000,509.7000000
NVTK,60,20150122,170000,509.0000000
NVTK,60,20150122,180000,514.8000000
NVTK,60,20150122,190000,523.7000000
NVTK,60,20150123,110000,526.5000000
NVTK,60,20150123,120000,524.7000000
NVTK,60,20150123,130000,520.8000000
NVTK,60,20150123,140000,515.1000000
NVTK,60,20150123,150000,521.3000000
NVTK,60,20150123,160000,523.4000000
NVTK,60,20150123,170000,523.9000000
NVTK,60,20150123,180000,513.4000000
NVTK,60,20150123,190000,512.0000000
NVTK,60,20150126,110000,497.4000000
NVTK,60,20150126,120000,502.3000000
NVTK,60,20150126,130000,501.8000000
NVTK,60,20150126,140000,502.0000000
NVTK,60,20150126,150000,502.7000000
NVTK,60,20150126,160000,505.2000000
NVTK,60,20150126,170000,508.0000000
NVTK,60,20150126,180000,503.2000000
NVTK,60,20150126,190000,504.0000000
NVTK,60,20150127,110000,506.0000000
NVTK,60,20150127,120000,511.3000000
NVTK,60,20150127,130000,512.7000000
NVTK,60,20150127,140000,511.2000000
NVTK,60,20150127,150000,509.3000000
NVTK,60,20150127,160000,506.3000000
NVTK,60,20150127,170000,509.2000000
NVTK,60,20150127,180000,504.8000000
NVTK,60,20150127,190000,505.5000000
NVTK,60,20150128,110000,516.0000000
NVTK,60,20150128,120000,515.0000000
NVTK,60,20150128,130000,509.3000000
NVTK,60,20150128,140000,500.0000000
NVTK,60,20150128,150000,501.7000000
NVTK,60,20150128,160000,501.2000000
NVTK,60,20150128,170000,497.4000000
NVTK,60,20150128,180000,492.0000000
NVTK,60,20150128,190000,488.0000000
NVTK,60,20150129,110000,492.7000000
NVTK,60,20150129,120000,490.1000000
NVTK,60,20150129,130000,487.9000000
NVTK,60,20150129,140000,486.7000000
NVTK,60,20150129,150000,493.4000000
NVTK,60,20150129,160000,490.6000000
NVTK,60,20150129,170000,488.9000000
NVTK,60,20150129,180000,484.6000000
NVTK,60,20150129,190000,480.4000000
NVTK,60,20150130,110000,484.5000000
NVTK,60,20150130,120000,477.7000000
NVTK,60,20150130,130000,477.6000000
NVTK,60,20150130,140000,476.8000000
NVTK,60,20150130,150000,478.1000000
NVTK,60,20150130,160000,477.6000000
NVTK,60,20150130,170000,476.3000000
NVTK,60,20150130,180000,484.9000000
NVTK,60,20150130,190000,460.0000000
NVTK,60,20150202,110000,472.5000000
NVTK,60,20150202,120000,473.9000000
NVTK,60,20150202,130000,463.2000000
NVTK,60,20150202,140000,472.5000000
NVTK,60,20150202,150000,480.9000000
NVTK,60,20150202,160000,479.9000000
NVTK,60,20150202,170000,472.0000000
NVTK,60,20150202,180000,472.1000000
NVTK,60,20150202,190000,472.0000000
NVTK,60,20150203,110000,479.1000000
NVTK,60,20150203,120000,487.7000000
NVTK,60,20150203,130000,477.5000000
NVTK,60,20150203,140000,479.3000000
NVTK,60,20150203,150000,479.2000000
NVTK,60,20150203,160000,482.7000000
NVTK,60,20150203,170000,480.1000000
NVTK,60,20150203,180000,480.9000000
NVTK,60,20150203,190000,482.3000000
NVTK,60,20150204,110000,487.4000000
NVTK,60,20150204,120000,482.1000000
NVTK,60,20150204,130000,477.1000000
NVTK,60,20150204,140000,480.0000000
NVTK,60,20150204,150000,484.8000000
NVTK,60,20150204,160000,479.2000000
NVTK,60,20150204,170000,478.7000000
NVTK,60,20150204,180000,482.0000000
NVTK,60,20150204,190000,478.5000000
NVTK,60,20150205,110000,479.0000000
NVTK,60,20150205,120000,479.9000000
NVTK,60,20150205,130000,480.7000000
NVTK,60,20150205,140000,489.7000000
NVTK,60,20150205,150000,493.2000000
NVTK,60,20150205,160000,495.7000000
NVTK,60,20150205,170000,493.3000000
NVTK,60,20150205,180000,496.0000000
NVTK,60,20150205,190000,500.2000000
NVTK,60,20150206,110000,519.0000000
NVTK,60,20150206,120000,510.6000000
NVTK,60,20150206,130000,512.2000000
NVTK,60,20150206,140000,515.0000000
NVTK,60,20150206,150000,518.7000000
NVTK,60,20150206,160000,520.4000000
NVTK,60,20150206,170000,520.0000000
NVTK,60,20150206,180000,521.6000000
NVTK,60,20150206,190000,522.2000000
NVTK,60,20150209,110000,522.0000000
NVTK,60,20150209,120000,547.1000000
NVTK,60,20150209,130000,530.0000000
NVTK,60,20150209,140000,537.7000000
NVTK,60,20150209,150000,527.4000000
NVTK,60,20150209,160000,526.3000000
NVTK,60,20150209,170000,520.4000000
NVTK,60,20150209,180000,525.8000000
NVTK,60,20150209,190000,527.5000000
NVTK,60,20150210,110000,536.0000000
NVTK,60,20150210,120000,536.0000000
NVTK,60,20150210,130000,538.5000000
NVTK,60,20150210,140000,532.8000000
NVTK,60,20150210,150000,531.4000000
NVTK,60,20150210,160000,528.5000000
NVTK,60,20150210,170000,523.8000000
NVTK,60,20150210,180000,520.0000000
NVTK,60,20150210,190000,520.0000000
NVTK,60,20150211,110000,538.8000000
NVTK,60,20150211,120000,532.8000000
NVTK,60,20150211,130000,534.0000000
NVTK,60,20150211,140000,534.4000000
NVTK,60,20150211,150000,536.5000000
NVTK,60,20150211,160000,535.6000000
NVTK,60,20150211,170000,530.7000000
NVTK,60,20150211,180000,531.5000000
NVTK,60,20150211,190000,530.9000000
NVTK,60,20150212,110000,525.2000000
NVTK,60,20150212,120000,527.9000000
NVTK,60,20150212,130000,536.0000000
NVTK,60,20150212,140000,539.9000000
NVTK,60,20150212,150000,534.0000000
NVTK,60,20150212,160000,536.8000000
NVTK,60,20150212,170000,535.0000000
NVTK,60,20150212,180000,534.9000000
NVTK,60,20150212,190000,539.5000000
NVTK,60,20150213,110000,548.3000000
NVTK,60,20150213,120000,543.6000000
NVTK,60,20150213,130000,546.1000000
NVTK,60,20150213,140000,544.0000000
NVTK,60,20150213,150000,543.4000000
NVTK,60,20150213,160000,542.4000000
NVTK,60,20150213,170000,543.3000000
NVTK,60,20150213,180000,546.6000000
NVTK,60,20150213,190000,543.8000000
NVTK,60,20150216,110000,538.4000000
NVTK,60,20150216,120000,525.6000000
NVTK,60,20150216,130000,528.8000000
NVTK,60,20150216,140000,522.8000000
NVTK,60,20150216,150000,522.5000000
NVTK,60,20150216,160000,522.0000000
NVTK,60,20150216,170000,525.2000000
NVTK,60,20150216,180000,526.2000000
NVTK,60,20150216,190000,524.6000000
NVTK,60,20150217,110000,520.9000000
NVTK,60,20150217,120000,517.0000000
NVTK,60,20150217,130000,520.0000000
NVTK,60,20150217,140000,539.5000000
NVTK,60,20150217,150000,535.7000000
NVTK,60,20150217,160000,535.6000000
NVTK,60,20150217,170000,532.1000000
NVTK,60,20150217,180000,523.0000000
NVTK,60,20150217,190000,522.7000000
NVTK,60,20150218,110000,535.1000000
NVTK,60,20150218,120000,532.3000000
NVTK,60,20150218,130000,533.1000000
NVTK,60,20150218,140000,532.7000000
NVTK,60,20150218,150000,536.0000000
NVTK,60,20150218,160000,534.9000000
NVTK,60,20150218,170000,533.3000000
NVTK,60,20150218,180000,533.1000000
NVTK,60,20150218,190000,527.5000000
NVTK,60,20150219,110000,527.6000000
NVTK,60,20150219,120000,521.6000000
NVTK,60,20150219,130000,518.3000000
NVTK,60,20150219,140000,518.7000000
NVTK,60,20150219,150000,516.0000000
NVTK,60,20150219,160000,512.8000000
NVTK,60,20150219,170000,511.0000000
NVTK,60,20150219,180000,524.3000000
NVTK,60,20150219,190000,529.2000000
NVTK,60,20150220,110000,529.0000000
NVTK,60,20150220,120000,522.8000000
NVTK,60,20150220,130000,520.0000000
NVTK,60,20150220,140000,516.9000000
NVTK,60,20150220,150000,518.4000000
NVTK,60,20150220,160000,524.7000000
NVTK,60,20150220,170000,523.3000000
NVTK,60,20150220,180000,518.8000000
NVTK,60,20150220,190000,518.1000000
NVTK,60,20150224,110000,520.0000000
NVTK,60,20150224,120000,521.8000000
NVTK,60,20150224,130000,515.2000000
NVTK,60,20150224,140000,515.3000000
NVTK,60,20150224,150000,518.8000000
NVTK,60,20150224,160000,517.6000000
NVTK,60,20150224,170000,518.1000000
NVTK,60,20150224,180000,514.1000000
NVTK,60,20150224,190000,518.3000000
NVTK,60,20150225,110000,516.8000000
NVTK,60,20150225,120000,514.8000000
NVTK,60,20150225,130000,510.0000000
NVTK,60,20150225,140000,508.2000000
NVTK,60,20150225,150000,507.9000000
