<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-FUT,60,20200121,100000,3321.0000000
SANDP-FUT,60,20200121,110000,3325.0000000
SANDP-FUT,60,20200121,120000,3327.8000000
SANDP-FUT,60,20200121,150000,3325.2000000
SANDP-FUT,60,20200121,160000,3319.5000000
SANDP-FUT,60,20200121,210000,3332.4000000
SANDP-FUT,60,20200121,230000,3334.3000000
SANDP-FUT,60,20200122,040000,3333.1000000
SANDP-FUT,60,20200122,060000,3332.0000000
SANDP-FUT,60,20200122,090000,3333.5000000
SANDP-FUT,60,20200122,110000,3332.0000000
SANDP-FUT,60,20200122,120000,3328.0000000
SANDP-FUT,60,20200122,160000,3319.8000000
SANDP-FUT,60,20200122,190000,3317.2000000
SANDP-FUT,60,20200122,210000,3317.9000000
SANDP-FUT,60,20200123,020000,3319.7000000
SANDP-FUT,60,20200123,030000,3317.7000000
SANDP-FUT,60,20200123,050000,3320.4000000
SANDP-FUT,60,20200123,080000,3315.2000000
SANDP-FUT,60,20200123,100000,3312.0000000
SANDP-FUT,60,20200123,110000,3305.5000000
SANDP-FUT,60,20200123,160000,3326.0000000
SANDP-FUT,60,20200124,030000,3335.3000000
SANDP-FUT,60,20200124,050000,3331.8000000
SANDP-FUT,60,20200124,080000,3333.1000000
SANDP-FUT,60,20200124,090000,3327.8000000
SANDP-FUT,60,20200124,100000,3318.5000000
SANDP-FUT,60,20200124,130000,3290.0000000
SANDP-FUT,60,20200124,140000,3283.8000000
SANDP-FUT,60,20200124,150000,3296.5000000
SANDP-FUT,60,20200124,160000,3292.3000000
SANDP-FUT,60,20200126,180000,3258.4000000
SANDP-FUT,60,20200126,190000,3264.5000000
SANDP-FUT,60,20200127,020000,3260.0000000
SANDP-FUT,60,20200127,030000,3263.4000000
SANDP-FUT,60,20200127,040000,3250.0000000
SANDP-FUT,60,20200127,050000,3247.0000000
SANDP-FUT,60,20200127,060000,3246.9000000
SANDP-FUT,60,20200127,070000,3249.2000000
SANDP-FUT,60,20200127,080000,3244.6000000
SANDP-FUT,60,20200127,090000,3247.0000000
SANDP-FUT,60,20200127,100000,3245.5000000
SANDP-FUT,60,20200127,110000,3240.5000000
SANDP-FUT,60,20200127,130000,3254.8000000
SANDP-FUT,60,20200127,150000,3243.0000000
SANDP-FUT,60,20200127,160000,3241.7000000
SANDP-FUT,60,20200127,180000,3246.2000000
SANDP-FUT,60,20200127,200000,3251.0000000
SANDP-FUT,60,20200127,230000,3255.1000000
SANDP-FUT,60,20200128,000000,3256.8000000
SANDP-FUT,60,20200128,010000,3260.0000000
SANDP-FUT,60,20200128,030000,3253.1000000
SANDP-FUT,60,20200128,060000,3248.8000000
SANDP-FUT,60,20200128,070000,3260.9000000
SANDP-FUT,60,20200128,080000,3258.7000000
SANDP-FUT,60,20200128,090000,3257.0000000
SANDP-FUT,60,20200128,100000,3275.0000000
SANDP-FUT,60,20200128,110000,3278.5000000
