title,description
Russian coronavirus aid delivery to US prompts confusion and criticism,"Washington (CNN)Former State Department officials were ""mystified"" and ""bemused"" by the United States' purchase of medical supplies from Russia amid the coronavirus pandemic -- a move that experts say is a propaganda win for the Kremlin.CNN's Maegan Vazquez and Betsy Klein in Washington, Mary Ilyushina in Moscow and Matthew Chance in London contributed to this report. A Russian plane with the equipment touched down in New York City on Wednesday, with an air traffic controller thanking the pilot ""for all the assistance you are bringing in."" The delivery came days after  President Donald Trump spoke by phone with his Russian counterpart, Vladimir Putin.  'A very nice offer' According to State Department spokesperson Morgan Ortagus, the US purchased the supplies, which included ventilators and personal protection equipment.  ""Both countries have provided humanitarian assistance to each other in times of crisis in the past and will no doubt do so again in the future,"" she said. ""This is a time to work together to overcome a common enemy that threatens the lives of all of us.""  A State Department spokesperson on Thursday evening said, ""The United States is purchasing the supplies and equipment outright, as with deliveries from other countries.""  ""We appreciate Russia selling these items to us below market value,"" they said.  It is unclear if the Trump administration also bought supplies from other countries below market value, and how this specific deal was established.  The spokesperson for the Russian Foreign Ministry, Maria Zakharova, said Thursday that half of the cargo was paid for by the Russian Direct Investment Fund -- a state-owned sovereign wealth investment fund -- and half by the US.  Trump, speaking from the White House Thursday, did not mention the supplies being purchased. He instead touted the delivery as ""a very nice offer"" and said he would be open to future aid. ""It was a very nice gesture on behalf of President Putin and I could have said 'no, thank you' or I could have said 'thank you.' And it was a large plane of very high-quality medical supplies. And I said, 'I'll take it,'"" Trump said. 'Hard to understand why they are not being clear' The decision to buy supplies from one of the US' traditional adversaries -- and the lack of transparency around that choice -- was met with confusion by a number of former officials.  ""Maybe this is a case of the bureaucracy being worried and having to fill in behind a decision Trump made on his own, but not wanting to get too far into the details to avoid backlash,"" said one of the former officials. The other official struggled to find any sort of justification for the Trump administration allowing Russia to be a trusted source for the goods, which are in short supply in the United States. ""It is really hard to understand why they are not being clear. It should be easy to explain,"" they said. ""It also highlights the issues with how much aid the US is giving to other countries and how much is coming in."" Russia is subject to numerous US sanctions, including for its aggression in Ukraine and its attempts to interfere in the 2016 US election. Daniel Fried, a former diplomat specializing in Russia and sanctions policy, told CNN that ""it shows the complexity of dealing, in a humanitarian area, with Russian institutions when we are pushing back at the same time against their aggressions.""  'Propaganda bonanza' Former diplomat Brett McGurk described the delivery, which was touted by Moscow as a humanitarian gesture, as a ""propaganda bonanza.""  Graham Brookie, the Director and Managing Editor of the Atlantic Council's Digital Forensic Research Lab, told CNN that they're seeing ""a huge amount of that kind of 'Russia is here to help,' that positive messaging, positive propaganda."" ""The Russians will fly in as many planes as possible to create the perception that we are reliant on Russia,"" a third former official said. ""If we keep accepting it, this makes us look weak and them look strong."" Andrew Weiss, the Vice President for Studies in the Russia and Eurasia Program at the Carnegie Endowment for International Peace, said the move played into Russia's broader foreign policy goals. ""There's this constant effort to basically say that anything the West might be concerned about is unfounded,"" he told CNN. ""In many respects, the Russian handling of Donald Trump has taken on aspects of trolling, where they're using Trump's attempts to turn the page to push core elements of Russia's foreign policy view, which is US policy is a joke,"" Weiss said. ""I think it's just one more of these incidents that we've seen where the Russians outfoxed the Trump White House."" "
"Even in the coronavirus pandemic, the Japanese likely won't stay home until Shinzo Abe makes them","Tokyo (CNN)Salary men in suits crammed into trains during the rush-hour commute are staple scenes in Tokyo. CNN's Junko Ogura, Sophie Jeong and Michelle Toh contributed to this report. Up until a few weeks ago, 52-year-old Hideya Tokiyoshi, who traveled into the capital from neighboring Saitama prefecture for work each day, was among them.  The English-language teacher moved to online lessons after his students grew anxious over the coronavirus pandemic, which has killed more than 46,800 people globally, according to the Johns Hopkins University.  Tokiyoshi, however, is a rare case.  While Tokyo's governor Yuriko Koike has urged the city's 13.5 million residents to telework where possible until April 12, and major Japanese companies such as Honda, Toyota and Nissan have asked staff to work from home, many employees are still commuting into the capital, where subway trains are busy during rush hour.  It's a similar story all across Japan, where about 80% of companies do not have the ability to let their employees telework, according to 2019 government data.  And with Prime Minister Shinzo Abe this week declining to declare a state of emergency, which would put pressure on businesses to enforce social distancing, companies can still legally operate from their offices. Underpinning this is Japan's notorious hard-work culture. A 2016 government study found that one in five employees was at risk of working themselves to death. The country even has its own word for it: ""karoshi,"" or death by overwork, which is defined as employees working so hard that they die from stress-related diseases -- or become so depressed that they kill themselves. ""The (coronavirus) information is on our mind and we're scared more than you would expect,"" tweeted Tokiyoshi recently. ""But for average Japanese, work is always the highest priority and the biggest excuse.  ""Unless (the) government shuts all businesses down with a few exemptions, no one will stay at home. We're slaves to work."" Exposing old habits The now-delayed Tokyo 2020 Olympics were meant to showcase Japan as a high-tech nation with robots showing guests to their seats and artificial meteorites in the sky. In reality, often people are wedded to more traditional ways of conducting business.  The fax machine, for example, remains a fixture in many offices, and people still use the company stamp to give official documents a seal of approval. In Japan, personal and company stamps are often used instead of electronic or handwritten signatures.  During the pandemic, many multinational companies have turned to messaging and video conferencing software such as Slack, Webex and Zoom to keep in touch with colleagues. But Rochelle Kopp, a business consultant at Japan Intercultural Consulting who has worked between Japan and the US for more than three decades, says Japanese firms have not made sufficient IT investments to do this.  Many employees don't have laptops they can take home, Kopp said, and companies do not have VPNs or remote access to their servers, meaning things can only be accessed in person at the office. To accelerate change as the coronavirus crisis continues, Japan's Ministry of Labor is offering grants of up to $77,000 to help small and medium-sized companies prepare for teleworking, said Misaki Togoshi, a spokeswoman at the Japanese Teleworking Association.  Nevertheless, barriers remain. ""We've started receiving up to 25 applications a day since March 9 from companies that want to adopt teleworking practices, but the funding is finite so not everyone will receive it,"" Togoshi said.     Another barrier is that a quarter of Japan's population is aged 65 and over. Many still occupy senior positions and are not known for being tech savvy. In 2018, for example, the country's then 68-year-old cybersecurity minister admitted he had never used a computer in his professional life.   ""Even if the hardware became available, older people may not have the experience or knowledge to adapt quickly,"" said Hisakazu Kato, a professor of economics at Meiji University in Tokyo. ""There's a clear digital divide in Japan.""     Face-to-face work culture   The reluctance to close offices and work remotely speaks to Japan's intense work culture, where employees are expected to put in long hours.  ""Some workers will stay at the office after hours because they think that the boss may be coming back after dinner with his associates,"" said Jesper Koll, a Japan-based economist and financial strategist. ""All of this is very real part of Japanese corporate culture."" The cultural emphasis on collective decision-making in Japan can also make people feel reluctant to work from home, where they will not be physically surrounded by colleagues. ""The situation in Japan is a bit unique compared to other countries where people have a more individualistic work style. It's easier for them to transition to teleworking,"" Kato said. ""In Japan, one person can't make an important decision alone at their home -- people have to come together to make decisions."" In many places, governments have led by example. In Hong Kong, for instance, the government announced that civil servants would work from home when it asked private businesses to let employees work remotely. Japan has not done that. While some government employees are teleworking, many are still going into the office.   Nakane Tsuyoshi, a human resources officer at the Ministry of Health, Labor and Welfare in Tokyo, is going to work, although the ministry has staggered the arrival times of staff, with some starting at 8 a.m. and others at 10 a.m.. ""We would worry that we can't help people and get the job done properly if we worked worked from home,"" he said.   At the Tokyo Metropolitan Government, workers dealing with the coronavirus pandemic, the delayed Olympics and those answering calls from the public are still going to the office, according to a spokesman.     Service industry More than 70% of Japan's workforce was also employed in the service sector in 2019, according to Japan's Bureau of Statistics. For those workers, it is near impossible to telework, Kato said.  Haru, who works as a massage therapist in a mall in Tokyo, still catches a bus to work. But now many customers are canceling their reservations, especially since 78 people tested positive for coronavirus in the capital on Tuesday -- the country's highest single-day jump. ""I'm anxious as the number of cases keeps going up in Tokyo and I want to stay at home. But I feel conflicted,"" Haru said.  ""Even if the boss told us to close the shop and stay at home, we would have nothing to fall back on. So far, the government has only told people to avoid public gatherings and that has meant fewer customers for us. But the government hasn't specifically said how they would support businesses teetering on the edge."" Bebe Ishikawa runs a Tokyo business supplying fruit to cake shops, hotels and wedding venues. She manages five staff in her office, all of whom come to work. ""If they take the train, I tell them to come in late or leave early to avoid the rush hour or to take a traxi to and from their homes,"" she said.  Ishikawa said she understood that a complete lockdown might be needed eventually to curb the spread of the coronavirus, but warned that many businesses would go bankrupt. ""If we stop delivering our produce then that means our customers can't sell their commodity so each link in the supply chain is affected,"" she said.  False sense of security? So far Japan -- a country of 127 million people -- has more than 2,300 cases of coronavirus, including 57 deaths. A total of 472 people have recovered. However, Japan has only tested about 34,508 people, compared with over 431,700 people tested in South Korea, which has a population of 51 million.  The relatively low recorded infection rate has created a sense of security in Japan, which could be encouraging workers to go into their offices.   ""The (Japanese) government should be stricter like in Europe,"" Kato said. ""The government has too much faith in the public doing the right thing by themselves, but they should send a clearer and more decisive message that tells people that this (coronavirus) situation is really serious.""  Back in Saitama, Tokiyoshi has embraced his teleworking lifestyle and found more time for passion projects. He and his students have overcome the occasional delayed connection, and he hopes this work style can become more accepted in the long term. ""Before, people thought it would be impossible for people to work from home as employees might not be able to focus on their jobs. But now people have realized they can do a lot of things from home,"" he said. "
Disney furloughs employees 'whose jobs aren't necessary at this time',"New York (CNN Business)Facing a complete standstill across its entertainment empire due to the coronavirus crisis, the Walt Disney Company notified its employees that it would furlough employees ""whose jobs aren't necessary at this time"" starting on April 19th.  Disney has been crippled by the coronavirus pandemic. Its theme parks around the world have shuttered, its cruise line is suspended and many of its biggest films of the year have been delayed. Live sporting events, the lifeblood of the Disney-owned ESPN, have also been suspended. Shares of Disney (DIS) have plummeted more than 30% year to date. The impact is hitting Disney's theme park employees especially hard. All of Disney's twelve theme parks have been shuttered since March 15th, after which the company committed to paying salaries through April 18th. In the statement, the company said there was ""no clear indication of when we can restart our businesses,"" and that it was ""forced to make the difficult decision to take the next step and furlough employees."" More than 75% of the company's 223,000 employees work for the Parks and Products division. The furloughed workers would remain employees of the company and keep their health and education benefits, while also being able to access federal and state aid like unemployment benefits. Among those impacted could be the Disney Parks' storied ""Imagineers"" — the designers of the parks, rides and hotels.  Disney's announcement is one of the  signs of the economic destruction rippling through the travel industry, which employs some 319 million workers globally.  Disney executives announced earlier this week that they were taking a pay cut because of the pandemic. The company's CEO Bob Chapek said in an email to employees on Monday that he would take a 50% pay cut while Bob Iger, the company's executive chairman, will forgo all of his salary. ""While I am confident we will get through this challenging period together and emerge even stronger, we must take necessary steps to manage the short and long-term financial impact on our company,"" Chapek wrote. Thursday's furlough announcement specifically relates to the company's US employees, executives, and non-union hourly workers.  -— This story previously misstated the date on which all Disney parks closed. It has been corrected. "
"Tesla overcomes plant shutdowns to again build 100,000 cars in quarter","New York (CNN Business)Tesla built more than 100,000 vehicles in the first quarter, despite shutdowns at its plants in Shanghai and Fremont, California, due to health concerns associated with the coronavirus. The company delivered only about 88,400 of the 102,672 cars it built for customers. The number of completed sales was up 40% from the year earlier. But it was down 21% from the record fourth quarter sales that lifted Tesla to its first annual operating profit. Still, that beat recently lowered Wall Street estimates of 80,000 deliveries in the quarter. It was ""a small victory in a dark environment,"" according to a note from analyst Daniel Ives of Wedbush Securities. Tesla had to temporarily halt production at its new factory in Shanghai in late January due to restrictions put in place in China to combat the coronavirus. It kept its main plant in Fremont, California running even as state officials ordered non-essential businesses in the area to shut. But on March 19 it went ahead and suspended production there as well. Most of the auto industry suffered steep declines in car sales in the first quarter due to shutdowns in much of the United States, Europe and Asia in an effort to battle coronavirus. Forecasts for US and global sales for the entire industry have been slashed in recent weeks. Even with the decline in sales from the company's fourth quarter results, the first quarter performance helped to lift Tesla shares 17% in after-hours trading. Shares of Tesla were among the hottest in the market from June through mid-February, gaining more than 400% in less than nine months as it reached a record close of $917.42 on Feb. 19.  Since then its shares have lost half their value as markets overall declined globally. Even so, they still were up 150% from the June low as of the close on Thursday before the after-hours surge in the price. "
Trump says new recommendations on face masks are coming," (CNN)President Donald Trump said Thursday his administration will soon release nationwide recommendations on wearing face masks after initially telling Americans they weren't necessary to prevent the spread of coronavirus. But a top health adviser on his team strongly cautioned that masks should not lull Americans into a false sense of security that would lead them to abandon social distancing guidelines. Speaking at a White House task force briefing, Trump said the new guidance would stop short of requiring all Americans to wear face coverings.  ""I don't think they'll be mandatory because some people don't want to do that,"" he said, adding that Americans who do want to wear face coverings can ""decide for themselves."" He repeated his assertion that fabric coverings like scarves would be preferential, both because they avoid use of medical-grade masks needed in hospitals and because of their thickness. ""In many ways, a scarf is better. It's thicker,"" he said. Trump did not offer timing on the new recommendations, but people familiar with the matter said the administration was working Thursday to complete the guidance, which would advise Americans to use a face covering when leaving their homes. Vice President Mike Pence said the task force was still weighing recommendations from the Centers for Disease Control and Prevention and would issue recommendations in the next several days. CNN reported on Wednesday that most members of the task force have come to agree that Americans should begin wearing face coverings in public and could issue formal guidance on the matter soon. Some members of the task force -- including Dr. Deborah Birx -- have cautioned in meetings against recommending Americans wear masks because of a fear it could lull them into a false sense of protection and prevent them from socially distancing. But new insights into asymptomatic spread of the virus have led to a reconsideration of the guidance. Speaking at the briefing on Thursday, Birx said White House officials were still debating new recommendations. ""It is not a substitute for the presidential guidelines (on social distancing) that have already gone out,"" she said. ""Don't get a false sense of security that that mask is protecting you exclusively from getting infected."" ""This worries us,"" she added. ""That's why the debate is continuing about the mask."" Among the issues discussed by the task force and the CDC have been how to teach Americans to wear masks and how to prevent a rush on medical-grade equipment, such as N95 respirators, still in short supply for hospitals. There have also been discussions of the cultural shift that recommending masks would represent, since Americans (unlike citizens of some Asian countries) are not accustomed to wearing masks in public. And there has been some consideration of whether or not to call the recommended face coverings ""masks."" Some have suggested referring to them simply as ""face coverings"" or ""courtesy masks"" to distinguish them from the medical masks needed by professionals.    "
"Janice Preschel, 60, who continued to run New Jersey food pantry from hospital bed, dies of coronavirus"," (CNN)In her final days, Janice Preschel continued to run the Helping Hands Food Pantry from her hospital bed in New Jersey.  On Monday, Preschel died of complications from Covid-19 at a Teaneck hospital, Gov. Phil Murphy said. She was 60.  Murphy said on Thursday that 25,590 people across the state have tested positive for disease, and 537 have died. ""Even while she was in the hospital suffering and waiting for her test results and having difficulty breathing, she was still on the phone with me and emailing and sending me instructions on the pantry,"" said Teaneck Deputy Mayor Elie Katz, who wrote a speech that was read at Preschel's funeral service on Wednesday.  Katz said he tapped Preschel to start the food pantry to help families struggling after the 2008 financial crisis.  ""She jumped at the opportunity and, when I told her the salary was zero, she continued to jump at the opportunity,"" said Katz. ""It was in her DNA to serve and to give back to the community."" Katz said Preschel's family has asked those who knew her to spread the word of her plight with the respiratory disease to stress the importance of social distancing. She is survived by two brothers and a sister. Preschel was a former president of the Teaneck Rotary, according to Katz. She was a member of Temple Emeth and a volunteer on the township's social services advisory board.   ""For five years, Janice worked out of my office,"" Katz said in his speech. ""Her desk was three feet away from my desk. She ran the pantry like a well-oiled machine, making sure the volunteers were properly trained and that the donated food was picked up and ready for distribution and, above all, ensuring that each recipient was treated with care, respect, and dignity."" From her hospital bed, Preschel fired off almost daily emails to Katz about the workings of the pantry, he said.   ""She will be remembered as someone who gave herself to giving back to the community,"" said Katz, who is close to Preschel's family. ""She literally would eat, breathe or sleep helping the 100-something families who use the pantry every single week."" Preschel kept active in the community even after a viral infection left her legally blind about five years ago, Katz said.  ""She didn't slow down or stop from running the food pantry,"" he said.  In one of her last emails to Katz, he said Preschel asked him to stop by the pantry to personally thank the volunteers before it temporarily shut down because of the pandemic.    "
Fact check: Trump falsely claims plane and train passengers are being tested for the coronavirus,"Washington (CNN)President Donald Trump falsely claimed Wednesday that airplane and train passengers are being given ""very strong tests"" for the coronavirus both before departure and after arrival. Asked at a White House briefing if he is considering a temporary ban on domestic flights and rail travel, Trump said he was thinking about how to handle flights to and from virus ""hot spots,"" but that it's ""a very tough thing"" to shut down ""entire transportation systems."" He also claimed that there are safeguards already in place. ""They're doing tests on airlines -- very strong tests -- for getting on, getting off. They're doing tests on trains -- getting on, getting off,"" he said.  Facts First: There is no evidence plane and train passengers in the US are being tested for the coronavirus at all, let alone both when they get on and get off. Trump might have meant to refer to screening -- which involves questioning and sometimes temperature checks -- rather than actual testing, but major US airlines and rail company Amtrak are not doing screening, either. Some plane passengers are being subjected to government screening upon landing, but most passengers are not -- and this screening, unlike testing, cannot conclusively determine whether someone has the virus. Under a directive from the Trump administration, passengers returning to the US from Iran, China and most European countries must undergo ""enhanced entry screening"" by the federal government, which can include temperature checks and questions about their current condition and their medical history. There is also a patchwork of state screening at airports. Some states, such as Florida and Texas have been screening passengers arriving from particular places, such as New York, New Jersey and Connecticut -- states for which the federal government has issued an advisory against non-essential travel. Rhode Island has had the National Guard ask questions of people arriving at an airport in Warwick from numerous points of departure.  But screening -- which can require as little as filling out a form -- is not the same as a test to determine if someone has been infected. And most US passengers are not being screened in any way upon disembarking. Other countries are doing more screening of air and rail passengers than the US. Canada announced this week that all passengers would be given a basic health check before boarding and that passengers with symptoms common to the virus would not be allowed to board.  South Korea has been testing all plane passengers arriving from Europe. South Korea has also been screening all passengers boarding flights to the US.  Amtrak, American Airlines and Southwest Airlines had not responded to requests for comment as of 3 p.m. on Thursday. Delta Air Lines and United Airlines referred questions to industry association Airlines for America, which declined to comment. Amtrak says on its website that it has taken extra steps to protect the safety of passengers, such as increasing the frequency of cleaning and selling tickets for only half of trains' capacity. Airlines also say they have acted to keep planes clean and to keep people aboard at greater distances than usual.  "
New Jersey governor calls for 'postmortem' of federal response to coronavirus," (CNN)New Jersey Democratic Gov. Phil Murphy on Thursday called for an assessment of the federal response to the coronavirus once the crisis itself is handled, as states continue to scramble for much-needed medical supplies to combat the spreading virus.CNN's  Clare Foran, Haley Byrd and Manu Raju contributed to this report. When asked by CNN's Wolf Blitzer what the lagging maintenance on some of the federal government's ventilator reserves revealed about national preparedness levels, Murphy noted that the ventilators New Jersey received from the federal government ""had a high rate of functioning.""  ""On the one hand, I'll leave history to the historians in terms of how we got here,"" Murphy said. ""But on the other hand, we've got -- all of us have to do one of the biggest postmortems, when the dust settles on this, in the history of our country."" ""We've got to figure out how the heck we got into this spot and make sure we never get in this spot ever again,"" he added. Murphy's comments echo those of congressional Democrats calling for a commission to investigate what happened in the onset of the coronavirus crisis, with the number of US cases going higher than 236,000 on Thursday and continuing to climb. House Speaker Nancy Pelosi announced earlier Thursday the creation of a bipartisan House select committee on the coronavirus crisis that will exercise oversight of the federal response to the pandemic and be chaired by Majority Whip Jim Clyburn, a South Carolina Democrat. When asked if she would support a commission to investigate what had unfolded at the start of the crisis, Pelosi said there is ""absolutely"" a need for one, that it's ""something that we should discuss"" and it would have to be bipartisan.  Anything that affects this many Americans, the California Democrat added, needs an after-action review -- ""not to point fingers, but to ensure that it doesn't happen again in the manner in which it happened."" Murphy also said Friday that while New Jerseyans are ""grateful for"" the federal support they've received battling the coronavirus, ""we need a lot more."" He cited his state's efforts to buy personal protective equipment from foreign and domestic sellers and to build hospitals. ""But in all of those channels, in all of those avenues, we can only do so much. Any one state can only do so much,"" Murphy said. ""Again, we need our federal partners with us."" "
Here's what you think of coronavirus if you watch Fox News," (CNN)Every cable network is covering the coronavirus wall-to-wall. And has been doing so for weeks now. THE POINT -- NOW ON YOUTUBE! In each episode of his weekly YouTube show, Chris Cillizza will delve a little deeper into the surreal world of politics. Click to subscribe! But while the coverage is constant across cable TV news, the message about coronavirus people are getting from the networks isn't the same. At all. Take this question, asked in a recent Pew poll, as to whether the coronavirus originated in nature (it did) or whether it was built in a laboratory (it wasn't). While 66% of MSNBC viewers and 52% of CNN watchers accurately said the coronavirus came from nature, just 37% of Fox News viewers said the same. Or this question about how long it will take for a coronavirus vaccine to be ready. Just 51% of Fox News viewers said it would take a year or more for the vaccine to be available while 78% of MSNBC watchers said it would more than a year for a vaccine. Almost 6 in 10 CNN viewers said the same. (Worth noting: A coronavirus vaccine is, according to medical experts, at least, a year to 18 months away.) The differences between cable network viewers' knowledge of the virus extend to how each network's stalwarts view the coronavirus coverage. Eight in 10 Fox News viewers say the media exaggerated the threat from coronavirus as compared to 54% of CNN viewers and just 35% of MSNBC watchers. Why those numbers matter is because we know -- also from Pew data -- that self-identified conservatives Republicans overwhelmingly turn to Fox News as their preferred source of information. (More than 3 in 4 conservative Republicans and those who lean Republican say that Fox is their main source of information.) The Point: Fox News watchers, who are overwhelmingly Republicans, are reporting a very different -- and less accurate -- view of coronavirus than those who watch CNN and MSNBC. "
Federal judge declines to postpone Wisconsin's April 7 primary but extends absentee voting," (CNN)Wisconsin's primary remains on schedule for Tuesday after a federal judge declined to postpone the contest.CNN's Ariane de Vogue and Adam Levy contributed to this report. Unlike several other states and territories with April primaries, Wisconsin's Democratic Gov. Tony Evers and the Republican-led state legislature have not moved or made major changes to the state's election date amid the coronavirus pandemic.  In a ruling Thursday, US District Judge William Conley did extend the deadline for absentee ballots to be returned from Election Day on April 7 to April 13. He also pushed back the state's deadline to request absentee ballots from Thursday to Friday, and said the state must also count ballots from those who submit ""a written affirmation or other statement"" that they weren't able to get a witness to sign their ballots. But he did not move the primary despite pleas from mayors and concerns from state and local elections officials about a critical shortage of poll workers that has led Evers to say he'll deploy the National Guard to staff polling stations.  The state and national Republican Party, the intervening defendants in the case on behalf of Wisconsin's GOP-led legislature, filed a notice Thursday night that they would appeal Conley's ruling to the US Seventh Circuit Court of Appeals. Wisconsin GOP chairman Andrew Hitt said on Twitter that Conley's ""decision to change the date when absentee ballots can be received without any limitation on the postmark effectively changes the date of the election."" The ruling comes after a flurry of lawsuits seeking changes to Wisconsin's primary that resulted in the national and state Democratic parties siding with advocacy groups looking for looser rules around absentee balloting, while state and national Republicans argued that the election should proceed as planned. Evers last week asked the Republican-led legislature to send every Wisconsin voter an absentee ballot. But Republican lawmakers said there was too little time, and Evers said he viewed himself as restricted by law from moving the primary date. Conley's decision comes the same day the Democratic National Convention, initially scheduled to take place in July in Milwaukee, was postponed until August.  Conley was sharply critical of Evers and the GOP-led legislature in an hours-long hearing Wednesday for failing to move the primary -- but said it was their decision, and not his place to move the election.  ""This is a public health crisis that the state legislature and the governor have refused to accept as severe enough to stop this statewide election,"" Conley said.  The judge offered similar criticism in his decision Thursday.  ""Without doubt, the April 7 election day will create unprecedented burdens not just for aspiring voters, but also for poll workers, clerks, and indeed the state,"" he wrote in the 53-page ruling. ""As much as the court would prefer that the Wisconsin Legislature and Governor consider the public health ahead of any political considerations, that does not appear in the cards. Nor is it appropriate for a federal district court to act as the state's chief health official by taking that step for them."" The Wisconsin Democratic Party had broken with Evers and called for the primary to be postponed. Vermont Sen. Bernie Sanders also said it should be delayed.  But former Vice President Joe Biden, the front-runner for the Democratic nomination, on Thursday told reporters he thought it could go forward, noting that more than 1.1 million people had requested absentee ballots. ""I think it could be done based on what I'm hearing from the news and what I understand the governor and others are saying. But that's for them to decide,"" Biden said.  "
